symbol,canonical_symbol,name,asset_type,market,metadata_source,yahoo_symbol,status,code,reason,recommended_action,policy_allowed,complexity,theme,is_leveraged,is_inverse,message
ARMU,ARMU,T-REX 2X ロング アーム デイリーターゲットETF,etf,us,yahoo,,no_bars,YAHOO-NO-BARS,excluded_leveraged,exclude_from_default_ranking,false,leveraged,index,true,false,Yahoo returned no OHLCV bars for this symbol.
PXIU,PXIU,TRex 2倍 ロング UPXI デイリー ETF,etf,us,yahoo,,no_bars,YAHOO-NO-BARS,excluded_leveraged,exclude_from_default_ranking,false,leveraged,index,true,false,Yahoo returned no OHLCV bars for this symbol.
BULU,BULU,TRex 2倍 ロング BULL デイリー ETF,etf,us,yahoo,,no_bars,YAHOO-NO-BARS,excluded_leveraged,exclude_from_default_ranking,false,leveraged,index,true,false,Yahoo returned no OHLCV bars for this symbol.
AMOG,AMOG,ABFシンガポール債券インデックス・ファンド,etf,us,yahoo,A35.SI,no_bars,YAHOO-NO-BARS,mapped_yahoo_symbol_available,use_yahoo_symbol_mapping,true,beginner,bond,false,false,Yahoo returned no OHLCV bars for this symbol.
CSOP,CSOP,CSOP iEdge S-REITリーダーズインデックスETF,etf,us,yahoo,SRU.SI,no_bars,YAHOO-NO-BARS,mapped_yahoo_symbol_available,use_yahoo_symbol_mapping,true,beginner,reit,false,false,Yahoo returned no OHLCV bars for this symbol.
ICGB,ICGB,ICBC CSOP FTSE中国国債インデックスETF,etf,us,yahoo,CYC.SI,no_bars,YAHOO-NO-BARS,mapped_yahoo_symbol_available,use_yahoo_symbol_mapping,true,beginner,bond,false,false,Yahoo returned no OHLCV bars for this symbol.
INDI-D,INDI-D,iシェアーズ MSCI インディア インデックスETF,etf,us,yahoo,INDI.SI,no_bars,YAHOO-NO-BARS,mapped_yahoo_symbol_available,use_yahoo_symbol_mapping,true,beginner,index,false,false,Yahoo returned no OHLCV bars for this symbol.
LIOP,LIOP,ライオンフィリップS-REIT ETF,etf,us,yahoo,CLR.SI,no_bars,YAHOO-NO-BARS,mapped_yahoo_symbol_available,use_yahoo_symbol_mapping,true,beginner,reit,false,false,Yahoo returned no OHLCV bars for this symbol.
LISC,LISC,ライオン-OCBC SG ローカーボン,etf,us,yahoo,ESG.SI,no_bars,YAHOO-NO-BARS,mapped_yahoo_symbol_available,use_yahoo_symbol_mapping,true,beginner,index,false,false,Yahoo returned no OHLCV bars for this symbol.
AMOL,AMOL,アモーヴァ中国フューチャーモビリティETF,etf,us,yahoo,EVS.SI,no_bars,YAHOO-NO-BARS,mapped_yahoo_symbol_available,use_yahoo_symbol_mapping,true,beginner,index,false,false,Yahoo returned no OHLCV bars for this symbol.
AMOT,AMOT,アモーヴァ SGD建て投資適格社債ETF,etf,us,yahoo,MBH.SI,no_bars,YAHOO-NO-BARS,mapped_yahoo_symbol_available,use_yahoo_symbol_mapping,true,beginner,bond,false,false,Yahoo returned no OHLCV bars for this symbol.
AMOE,AMOE,アモーヴァ シンガポール STI ETF,etf,us,yahoo,G3B.SI,no_bars,YAHOO-NO-BARS,mapped_yahoo_symbol_available,use_yahoo_symbol_mapping,true,beginner,index,false,false,Yahoo returned no OHLCV bars for this symbol.
AMON,AMON,アモーヴァStraitsTradingAsiaexJP REITETF,etf,us,yahoo,CFA.SI,no_bars,YAHOO-NO-BARS,mapped_yahoo_symbol_available,use_yahoo_symbol_mapping,true,beginner,reit,false,false,Yahoo returned no OHLCV bars for this symbol.
UOBA,UOBA,UOB APAC グリーン REIT ETF,etf,us,yahoo,GRN.SI,no_bars,YAHOO-NO-BARS,mapped_yahoo_symbol_available,use_yahoo_symbol_mapping,true,beginner,reit,false,false,Yahoo returned no OHLCV bars for this symbol.
